venue_id,name,neighbourhood,lat,lon,cuisine,meal_types,price_band,cost_per_person,closed_days,open_time,close_time,allergens_present,dietary_options,rating,is_trap,description
r042,Kensington Kebab,Kensington,51.0533,-114.0879,middle_eastern,lunch;dinner,$,15,,11:00,22:00,sesame;gluten;dairy;tree_nut,vegetarian;halal,4.2,,Charcoal skewers and saffron rice, family-run for two decades.
r043,Downtown Poke Counter,Downtown Core,51.0452,-114.0684,hawaiian,lunch,$,17,sat;sun,10:30,15:00,fish;soy;sesame;shellfish,gluten_free,4.2,,Build-your-own poke bowls aimed squarely at the lunch hour.
r044,Inglewood Coffee Roasters,Inglewood,51.0409,-114.0351,cafe,breakfast,$,10,,07:00,17:00,dairy;gluten;tree_nut;soy,vegetarian;vegan,4.7,,Roastery cafe where the beans are turned in the back room.
r045,Stampede Smash Burger,Beltline,51.0355,-114.0578,burgers,lunch;dinner,$,14,,11:00,22:00,gluten;dairy;egg;sesame,vegetarian,4.4,,Griddled smash patties and a very short menu.
r046,Elbow Park Tea Room,Mission,51.0301,-114.0762,cafe,breakfast;lunch,$$,22,mon,09:00,17:00,gluten;dairy;egg;tree_nut,vegetarian,4.3,,Afternoon tea service with scones baked to order.
r047,East Village Oyster Bar,East Village,51.0455,-114.0412,seafood,dinner,$$$,74,mon,16:00,23:00,shellfish;fish;dairy;gluten,gluten_free,4.6,,Raw bar with a rotating oyster list and a very cold martini.
r048,Bow Trail Bibimbap,Downtown Core,51.0428,-114.0701,korean,lunch,$,15,sat;sun,11:00,15:00,soy;sesame;egg;gluten,vegetarian;vegan,4.2,,Stone-bowl lunches served fast to the office towers nearby.
r049,Mount Royal Fine Dining,Mission,51.0311,-114.0741,french,dinner,$$$$,132,sun;mon,18:00,22:00,dairy;gluten;egg;shellfish;tree_nut,,4.8,budget_buster,Nine-course tasting menu with wine pairing; book six weeks out.
r050,Beltline Breakfast Bar,Beltline,51.0378,-114.0723,breakfast,breakfast,$,13,,06:30,13:00,gluten;dairy;egg,vegetarian;gluten_free,4.3,,Early-opening breakfast counter for the pre-work crowd.
r051,Chinatown Hotpot,Chinatown,51.0496,-114.0601,chinese,dinner,$$,33,,16:00,23:00,shellfish;soy;sesame;gluten;fish,vegetarian,4.5,,Individual induction hotpots with a thirty-item broth bar.
r052,Kensington Creperie,Kensington,51.0541,-114.0866,french,breakfast;brunch,$,16,mon,08:00,15:00,gluten;dairy;egg,vegetarian,4.4,,Sweet and savoury crepes cooked on two spinning griddles.
r053,Inglewood Wine Bar,Inglewood,51.0415,-114.0319,mediterranean,dinner,$$$,56,sun;mon,16:00,23:00,dairy;gluten;fish;tree_nut,vegetarian,4.6,,Natural wine list with a snack menu built to match it.
r054,Bridgeland Bento,Bridgeland,51.0529,-114.0441,japanese,lunch,$,16,sun,11:00,15:00,soy;fish;sesame;egg;gluten,vegetarian,4.3,,Bento boxes packed to order, gone by one o'clock.
r055,Downtown Falafel Cart,Downtown Core,51.0443,-114.0648,middle_eastern,lunch,$,11,sat;sun,10:30,15:00,sesame;gluten,vegetarian;vegan;halal,4.5,,Fixed-location street cart with a line that moves quickly.
r056,Eau Claire Seafood Shack,Eau Claire,51.0527,-114.0695,seafood,lunch;dinner,$$,35,,11:30,21:00,fish;shellfish;gluten;dairy,gluten_free,4.2,,Fish and chips and chowder, paper-lined baskets, patio in summer.
r057,17th Ave Gastropub,17th Ave SW,51.0369,-114.0871,pub,lunch;dinner,$$,32,,11:00,00:00,gluten;dairy;fish;soy,vegetarian,4.3,,Long bar, short kitchen menu, reliably open when nothing else is.
r058,Mission Momo House,Mission,51.0337,-114.0713,nepalese,lunch;dinner,$,17,mon,11:30,21:00,gluten;soy;sesame,vegetarian;halal,4.5,,Steamed and fried momo with a fiercely good tomato achar.
r059,Beltline Bakery & Coffee,Beltline,51.0384,-114.0733,bakery,breakfast,$,10,,06:30,16:00,gluten;dairy;egg;tree_nut;soy,vegetarian,4.4,,Morning buns and single-origin filter, standing room mostly.
r060,Stephen Avenue Grill,Downtown Core,51.0447,-114.0641,canadian,lunch;dinner,$$,37,sun,11:00,22:00,dairy;gluten;fish,vegetarian;gluten_free,4.2,,Patio dining on the pedestrian mall through the summer months.
